genus_name,expected_pct,mt6mer_pred_pct
Clostridium,0.0001,19.2237
Bacteroides,14.0,14.2702
Veillonella,14.0,9.7801
Prevotella,6.0,7.8151
Collinsella,0.0,6.5544
Lactobacillus,6.0,4.6329
Faecalibacterium,14.0,4.4826
Ruminococcus,0.0,3.2717
Enterobacter,0.0,2.4576
Solobacterium,0.0,2.4152
Blautia,0.0,2.1611
Streptococcus,0.0,1.5962
Fusobacterium,6.0,1.396
Sutterella,0.0,1.2085
Pantoea,0.0,1.1844
Bifidobacterium,6.0,1.1206
Desulfovibrio,0.0,1.0783
Phascolarctobacterium,0.0,1.0039
Parabacteroides,0.0,0.9385
Klebsiella,0.0,0.9078
Alistipes,0.0,0.899
Eggerthella,0.0,0.8524
Oscillibacter,0.0,0.8302
Providencia,0.0,0.8187
Citrobacter,0.0,0.7922
Eubacterium,0.0,0.6384
Azospirillum,0.0,0.5334
Butyricicoccus,0.0,0.48
Actinomyces,0.0,0.4489
Porphyromonas,0.0,0.4306
Butyricimonas,0.0,0.4181
Megasphaera,0.0,0.3928
Helicobacter,0.0,0.3855
Odoribacter,0.0,0.3249
Dialister,0.0,0.2986
Roseburia,14.0,0.2751
Acidaminococcus,0.0,0.2252
Morganella,0.0,0.222
Akkermansia,1.5,0.2143
Enterococcus,0.001,0.1956
Acinetobacter,0.0,0.1793
Succinatimonas,0.0,0.1671
Staphylococcus,0.0,0.1666
Oxalobacter,0.0,0.1568
Edwardsiella,0.0,0.1414
Franconibacter,0.0,0.1307
Treponema,0.0,0.1283
Lachnobacterium,0.0,0.1208
Megamonas,0.0,0.1148
Anaerococcus,0.0,0.1053
Campylobacter,0.0,0.0986
Peptoniphilus,0.0,0.0883
Leuconostoc,0.0,0.0838
Coprococcus,0.0,0.0789
Bacillus,0.0,0.0756
Lachnospira,0.0,0.0687
Granulicatella,0.0,0.0684
Atopobium,0.0,0.0592
Neisseria,0.0,0.0569
Anaerotruncus,0.0,0.0565
Corynebacterium,0.0,0.0559
Gemmiger,0.0,0.0556
Brachyspira,0.0,0.0446
Negativicoccus,0.0,0.0432
Pseudomonas,0.0,0.0366
Barnesiella,0.0,0.0345
Aeromonas,0.0,0.0329
Selenomonas,0.0,0.0286
Subdoligranulum,0.0,0.0274
Pediococcus,0.0,0.0248
Slackia,0.0,0.0247
Propionibacterium,0.0,0.0217
Oribacterium,0.0,0.0197
Dorea,0.0,0.0192
Exiguobacterium,0.0,0.0191
Succiniclasticum,0.0,0.0179
Olsenella,0.0,0.0162
Streptomyces,0.0,0.0148
Nesterenkonia,0.0,0.0145
Anaerotignum,0.0,0.0123
Sporolactobacillus,0.0,0.0104
Pseudobutyrivibrio,0.0,0.0094
Catenibacterium,0.0,0.0082
Paraprevotella,0.0,0.0079
Paenibacillus,0.0,0.0074
Coprobacillus,0.0,0.0068
Phyllobacterium,0.0,0.0064
Sanguibacteroides,0.0,0.0062
Anaeromassilibacillus,0.0,0.0045
Robinsoniella,0.0,0.0043
Blastococcus,0.0,0.0042
Propionimicrobium,0.0,0.0041
Rothia,0.0,0.0034
Halomonas,0.0,0.0032
Cellulomonas,0.0,0.0031
Flavobacterium,0.0,0.003
Garciella,0.0,0.0027
Cloacibacillus,0.0,0.0026
Brevibacterium,0.0,0.0023
Achromobacter,0.0,0.0023
Massiliomicrobiota,0.0,0.0021
Dysgonomonas,0.0,0.0021
Pelosinus,0.0,0.0016
Proteus,0.0,0.0013
Butyrivibrio,0.0,0.0011
Anaerofustis,0.0,0.001
Listeria,0.0,0.0008
Gemella,0.0,0.0007
Ralstonia,0.0,0.0006
Cryptobacterium,0.0,0.0004
Weissella,0.0,0.0003
Marvinbryantia,0.0,0.0002
Finegoldia,0.0,0.0001
Anaerosporobacter,0.0,0.0
