,precision,recall,f1-score,support
Achromobacter,0.490272373540856,0.39009287925696595,0.43448275862068964,323.0
Acidaminococcus,0.5632250580046404,0.4243881118881119,0.48404785643070786,2288.0
Acinetobacter,0.3660477453580902,0.2108479755538579,0.2675714978187106,1309.0
Actinomyces,0.5211605584642234,0.4064307587614835,0.45670043968648444,5878.0
Adlercreutzia,0.5,0.045454545454545456,0.08333333333333333,330.0
Aeromonas,0.5625,0.27439024390243905,0.36885245901639346,328.0
Akkermansia,0.5393518518518519,0.17772692601067888,0.26735513482501433,1311.0
Alistipes,0.5659526493799324,0.5702693930542032,0.5681028211138954,12324.0
Anaerococcus,0.47254004576659037,0.28181508017741386,0.3530668946356059,2931.0
Anaerofustis,0.4,0.1125,0.17560975609756097,320.0
Anaeromassilibacillus,0.352,0.04512820512820513,0.08,975.0
Anaerosporobacter,0.3333333333333333,0.01483679525222552,0.028409090909090908,337.0
Anaerostipes,0.0,0.0,0.0,321.0
Anaerotignum,0.44594594594594594,0.20689655172413793,0.2826552462526767,319.0
Anaerotruncus,0.5183098591549296,0.2828593389700231,0.36598707110890105,1301.0
Atopobium,0.6114180478821363,0.3391215526046987,0.43626806833114323,979.0
Azospirillum,0.4329140461215933,0.42315573770491804,0.42797927461139895,1952.0
Bacillus,0.2848101265822785,0.12534818941504178,0.17408123791102514,3590.0
Bacteroides,0.41961476253492136,0.5538563055544774,0.47747958773925847,25763.0
Barnesiella,0.5172413793103449,0.23076923076923078,0.3191489361702128,975.0
Bifidobacterium,0.5118809046664758,0.39313984168865435,0.4447208058699167,4548.0
Blastococcus,0.43322475570032576,0.40923076923076923,0.4208860759493671,325.0
Blautia,0.3735904148207813,0.49652080824300815,0.42637173226084457,14946.0
Brachyspira,0.5951557093425606,0.5358255451713395,0.5639344262295082,321.0
Brevibacterium,0.5435897435897435,0.33125,0.4116504854368932,320.0
Butyricicoccus,0.42152466367713004,0.36927106067219556,0.39367147510469985,2291.0
Butyricimonas,0.45918367346938777,0.34615384615384615,0.39473684210526316,1950.0
Butyrivibrio,0.46099290780141844,0.0668724279835391,0.11680143755615453,972.0
Campylobacter,0.5813577586206896,0.664,0.619936799770181,1625.0
Catenibacterium,0.5285505124450952,0.37409326424870465,0.4381067961165049,965.0
Cellulomonas,0.5818181818181818,0.7044025157232704,0.6372688477951636,318.0
Citrobacter,0.26865671641791045,0.13125,0.17634709587123862,960.0
Cloacibacillus,0.673202614379085,0.47320061255742724,0.5557553956834532,653.0
Clostridium,0.5281326384725361,0.7353668325573929,0.6147548684086913,62290.0
Collinsella,0.8378672555901724,0.9338813186813186,0.8832727045960047,113750.0
Coprobacillus,0.35714285714285715,0.01524390243902439,0.029239766081871343,328.0
Coprococcus,0.45492957746478874,0.1644602851323829,0.24158563949139866,1964.0
Corynebacterium,0.48358016741790083,0.25311762723289516,0.3323008849557522,2967.0
Cryptobacterium,0.6666666666666666,0.003076923076923077,0.006125574272588055,650.0
Desulfovibrio,0.5341745531019979,0.5185437223545424,0.5262430939226519,5878.0
Dialister,0.4536778398510242,0.352186483556198,0.3965412004069176,5534.0
Dorea,0.28857715430861725,0.0632688927943761,0.10378378378378378,2276.0
Dysgonomonas,0.25663716814159293,0.021986353297952996,0.040502793296089384,1319.0
Edwardsiella,0.4161849710982659,0.11093990755007704,0.17518248175182483,649.0
Eggerthella,0.4476024748646558,0.3544633287398561,0.3956250534051098,6531.0
Enterobacter,0.3419857235561324,0.26970317297850566,0.3015736766809728,1954.0
Enterococcus,0.3736217133163698,0.3011965811965812,0.3335226197236419,2925.0
Eubacterium,0.3816615826305401,0.2257242916268704,0.28367564683915714,9423.0
