epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,epoch_time_sec,throughput_reads_per_sec,gpu_allocated_gb,gpu_util_pct,ram_rss_gb,timestamp
1,2.2021621360735675,0.43948334743713735,0.386534866701778,1.9549303611450195,0.483198,0.44267668124881154,1.9999999999999998e-05,0.0003333333333333333,4199.8,1071.5,0.42,0.0,5.91,2026-04-23T15:24:00.543225
2,1.8907429314823414,0.4978835405051769,0.45894304403341946,1.775238056350708,0.52725,0.49331925357217493,2.997722274649974e-05,0.000499620379108329,4203.9,1070.4,0.42,0.0,6.05,2026-04-23T16:34:05.372328
3,1.7645578747018638,0.52558951530322,0.491800977044769,1.6925802274780273,0.543986,0.5205464762068348,2.9795419551040836e-05,0.0004965903258506806,4215.0,1067.6,0.42,0.0,6.12,2026-04-23T17:44:21.368759
4,1.7029105009567698,0.5395000586670838,0.50841031580685,1.6292702644805908,0.557488,0.5342376322017717,2.9434020004638757e-05,0.0004905670000773126,4214.8,1067.7,0.42,0.0,6.14,2026-04-23T18:54:37.218438
5,1.6664424192303209,0.5477790064284902,0.5183113339111571,1.5918481471710204,0.565654,0.5394923181037856,2.8897411008222026e-05,0.0004816235168037004,4213.9,1067.9,0.42,0.0,6.19,2026-04-23T20:04:52.091803
6,1.641320645470087,0.5538419384315622,0.5254268054615466,1.584434752067566,0.566772,0.5497669313451907,2.8192106268097336e-05,0.00046986843780162223,4214.4,1067.8,0.42,0.0,6.17,2026-04-23T21:15:07.481639
7,1.6209817727870237,0.5583404148651724,0.5307433952150672,1.5560870035324097,0.573788,0.5524896738462692,2.7326667228378677e-05,0.00045544445380631127,4214.8,1067.7,0.42,0.0,6.17,2026-04-23T22:25:23.368556
8,1.6047262592735598,0.562376443565821,0.5353378551584859,1.5483707671890259,0.577198,0.5537276660062757,2.6311599146653446e-05,0.0004385266524442241,4214.4,1067.8,0.42,0.0,6.23,2026-04-23T23:35:38.816274
9,1.590904687903334,0.5654924657242008,0.5389725648481696,1.5295812332458496,0.580698,0.5596812130506181,2.5159223574386117e-05,0.0004193203929064353,4210.4,1068.8,0.42,0.0,6.17,2026-04-24T00:45:50.295494
10,1.5792237557517423,0.5680502616907498,0.541946492997081,1.5213202994537354,0.581974,0.5626039960624126,2.3883528789974703e-05,0.000398058813166245,4207.8,1069.4,0.42,0.0,6.17,2026-04-24T01:55:59.094125
11,1.5683600071184816,0.5709200598759814,0.545205257421556,1.5108079012069702,0.585432,0.5647810696263521,2.25e-05,0.000375,4209.7,1069.0,0.42,0.0,6.23,2026-04-24T03:06:09.858074
12,1.5586805801632218,0.573087630845375,0.5476612982170901,1.4989922910614013,0.588382,0.5662041725700634,2.1025431369794546e-05,0.0003504238561632424,4210.8,1068.7,0.42,0.0,6.17,2026-04-24T04:16:21.754761
13,1.5494127002629368,0.5752876464899306,0.5501673265591223,1.5049811885681152,0.587678,0.5674747886307063,1.9477722165025422e-05,0.00032462870275042365,4212.1,1068.4,0.42,0.0,6.14,2026-04-24T05:26:34.883173
14,1.5410941107130143,0.5773456611247013,0.5525177748655427,1.4830642891693115,0.592398,0.5690120121610928,1.7875659478856077e-05,0.0002979276579809346,4209.5,1069.0,0.42,0.0,6.14,2026-04-24T06:36:45.071322
15,1.532554485323432,0.5793163418050973,0.5547488226001189,1.4826104972610474,0.592742,0.5737276007037633,1.623869018208499e-05,0.00027064483636808314,4210.6,1068.7,0.42,0.0,6.17,2026-04-24T07:46:56.864818
16,1.5248562761226712,0.5813263560985322,0.5570746275404738,1.4784853724060059,0.593814,0.5750046669269389,1.4586684864477572e-05,0.00024311141440795954,4211.3,1068.6,0.42,0.0,6.23,2026-04-24T08:57:09.188085
17,1.5168541506846647,0.5831452579218341,0.5591415833389499,1.4593882955322266,0.598046,0.5774838546865818,1.2939696632723877e-05,0.00021566161054539795,4211.3,1068.5,0.42,0.0,6.17,2026-04-24T10:07:21.618743
18,1.5097641266695074,0.584805491950165,0.561121325087209,1.4600481901550293,0.598446,0.5779502556459292,1.1317717692888014e-05,0.00018862862821480023,4212.0,1068.4,0.42,0.0,6.23,2026-04-24T11:17:34.740902
