,precision,recall,f1-score,support
Achromobacter,0.6495833333333333,0.4786613447958244,0.5511755347357257,3257.0
Acidaminococcus,0.6560625157549785,0.5707205824305952,0.6104231166150671,22801.0
Acinetobacter,0.4895981761185523,0.39557909279300024,0.43759551706571576,13029.0
Actinomyces,0.6276968967679609,0.6316687133306045,0.6296765418455391,58632.0
Adlercreutzia,0.506993006993007,0.13355848940743015,0.21142162818955043,3257.0
Aeromonas,0.6125260960334029,0.4504144918636782,0.5191082802547771,3257.0
Akkermansia,0.5816670681763431,0.3706347378923939,0.45276827152969856,13029.0
Alistipes,0.6991288680243322,0.6833983696486423,0.6911741274426092,123777.0
Anaerococcus,0.6022390201894555,0.4293900941465411,0.5013341829622845,29316.0
Anaerofustis,0.5280289330922242,0.26895916487565247,0.3563873067534581,3257.0
Anaeromassilibacillus,0.4663110612015722,0.16997544003274662,0.24913754312284386,9772.0
Anaerosporobacter,0.4224137931034483,0.07522259748234572,0.1277039353661715,3257.0
Anaerostipes,0.3465346534653465,0.010746085354620816,0.02084574151280524,3257.0
Anaerotignum,0.6202938475665748,0.4147988946883635,0.49714811407543696,3257.0
Anaerotruncus,0.6776410597494734,0.4691841277150971,0.5544671201814059,13029.0
Atopobium,0.6950456323337679,0.5455382726156365,0.6112831097351221,9772.0
Azospirillum,0.5875638000109763,0.547789602947196,0.5669800079438634,19544.0
Bacillus,0.3392109875174362,0.2646943901758303,0.2973553433977645,35830.0
Bacteroides,0.504921742073991,0.6608051234421572,0.5724409104221863,257327.0
Barnesiella,0.639538945162417,0.3747441670077773,0.47257710672344816,9772.0
Bifidobacterium,0.6266771536966781,0.5934672596227573,0.6096202531645569,45647.0
Blastococcus,0.53098948894527,0.4498004298434142,0.4870345744680851,3257.0
Blautia,0.4486218162384922,0.5434475026028458,0.4915027629978602,149836.0
Brachyspira,0.8021022109459949,0.6794596254221676,0.7357047872340425,3257.0
Brevibacterium,0.6338751069289992,0.45501995701565856,0.5297587131367292,3257.0
Butyricicoccus,0.5923739879864194,0.49739046533046793,0.5407428598674486,22801.0
Butyricimonas,0.598310291858679,0.5181641424478101,0.5553605703317795,19544.0
Butyrivibrio,0.46443398837531136,0.17171510437986082,0.2507284273440418,9772.0
Campylobacter,0.79142403388036,0.734327991649782,0.7618077008821937,16287.0
Catenibacterium,0.6696359411309063,0.5308022922636103,0.5921908893709328,9772.0
Cellulomonas,0.7199131513647643,0.7126189745164262,0.7162474926708842,3257.0
Citrobacter,0.3616826703246456,0.24283667621776503,0.29057735872160656,9772.0
Cloacibacillus,0.7448116833205227,0.594934765924789,0.6614898882157181,6515.0
Clostridium,0.5931514295298234,0.7787762961629462,0.6734061345975569,622144.0
Collinsella,0.9090872863668289,0.9632423702364008,0.9353816400690893,1136798.0
Coprobacillus,0.3951048951048951,0.06938900828983727,0.11804648733350745,3257.0
Coprococcus,0.55834109972041,0.30653909128121165,0.3957851621853736,19544.0
Corynebacterium,0.582486216402481,0.4612839405103015,0.5148480925911825,29316.0
Cryptobacterium,0.375,0.006907137375287797,0.013564431047475508,6515.0
Desulfovibrio,0.641521300188673,0.6611065629690271,0.6511666974650159,58632.0
Dialister,0.6042138748474812,0.5007945967421533,0.5476646588328231,55374.0
