epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,epoch_time_sec,throughput_reads_per_sec,gpu_allocated_gb,gpu_util_pct,ram_rss_gb,timestamp
1,1.4026463762747214,0.609892378513605,0.5892523628022855,1.3668081994689942,0.6180626,0.5947806949748602,2.979541735089692e-05,0.0004965902891816,24306.8,1851.3,3.82,0.0,42.67,2026-03-10T07:28:44.890539
2,1.3775594163550382,0.6161354985038201,0.5963683793116905,1.335625388986206,0.6259976,0.6082592343180422,2.8192100612986493e-05,0.0004698683435497,24350.3,1848.0,3.82,0.0,43.55,2026-03-10T14:14:39.536241
3,1.3546078704787223,0.6219372400885192,0.6029814801137949,1.3203330847366332,0.6296932,0.6090527951194202,2.515921592538166e-05,0.000419320265423,24454.8,1840.1,3.82,0.0,44.26,2026-03-10T21:02:18.918634
4,1.336051227710981,0.6266186911910274,0.6083275935493173,1.3024939404800415,0.6348544,0.6169248923142986,2.1025423209024102e-05,0.0003504237201504,24432.2,1841.8,3.82,0.0,44.76,2026-03-11T03:49:35.741913
5,1.319500140051173,0.6308415638635575,0.6131207151137303,1.287912290209961,0.6384978,0.6203798740039539,1.62386827813304e-05,0.0002706447130221,24306.3,1851.4,3.82,0.0,45.1,2026-03-11T10:34:46.679151
6,1.3039319937310714,0.6347694583387852,0.6175402189355111,1.274324598045349,0.6420222,0.6265584709469877,1.1317711933783389e-05,0.0001886285322297,24474.6,1838.6,3.82,0.0,45.32,2026-03-11T17:22:45.981040
7,1.3258258876789768,0.6293446506235031,0.6115238768222186,1.2950989750457764,0.6365612,0.6196481686194752,2.560660171779821e-05,0.0004267766952966,24334.2,1849.3,3.82,0.0,42.81,2026-03-28T20:02:43.206734
8,1.3036919991663842,0.6349042807527548,0.6177681239942379,1.2706193475540162,0.6431584,0.6272633203860205,1.5e-05,0.00025,24255.9,1855.2,1.96,0.0,43.66,2026-03-29T02:47:04.074957
9,1.2766561136528334,0.6417622905063687,0.6254445778541947,1.2430525399642944,0.6498226,0.6338064536596953,4.393398282201788e-06,7.322330470336314e-05,24319.7,1850.4,1.96,0.0,44.4,2026-03-29T09:32:28.477451
10,1.2543234351165098,0.6473679651455504,0.63169698000775,1.23187634271698,0.6529498,0.6371623709815831,0.0,0.0,24273.1,1853.9,1.96,0.0,44.91,2026-03-29T16:17:06.230272
11,1.3138157168041709,0.6325268773715589,0.6151612312157229,1.2856592666229247,0.6390374,0.6202418777976086,2.981532510892707e-05,0.0004969220851487,24725.3,1820.0,3.82,0.0,42.91,2026-03-31T08:02:25.280593
12,1.3055640699281823,0.63457439139469,0.6175077986742392,1.2833285043884275,0.6393614,0.6205029471023289,2.9265847744427305e-05,0.0004877641290737,24661.7,1824.7,1.96,0.0,43.8,2026-03-31T14:53:32.709964
13,1.2992227932621794,0.6362259715213817,0.6193635874222314,1.2756654925949096,0.642093,0.6254274462578645,2.836509786282552e-05,0.000472751631047,24597.5,1829.5,1.96,0.0,44.52,2026-03-31T21:43:34.994915
14,1.293209927437531,0.6377150403058351,0.6210609283859878,1.269614810321045,0.6433976,0.6253136680057928,2.7135254915624213e-05,0.0004522542485937,24446.2,1840.8,1.96,0.0,45.02,2026-04-01T04:31:06.128502
15,1.2871600452930116,0.6392926647717899,0.6228397920474847,1.2664714217895507,0.6441972,0.6259256986381044,2.560660171779821e-05,0.0004267766952966,24455.5,1840.1,1.96,0.0,45.35,2026-04-01T11:18:46.709466
16,1.281335344480035,0.640752577959222,0.6244765212412123,1.263335340249634,0.6445384,0.6264899131533431,2.3816778784387097e-05,0.0003969463130731,24489.5,1837.5,1.96,0.0,45.56,2026-04-01T18:07:01.142305
17,1.258058253134075,0.6465652306705503,0.6309806228881534,1.2374290864608766,0.6516714,0.635105637032781,1.2939694507733573e-05,0.0002156615751288,24557.3,1832.5,1.96,0.0,42.54,2026-04-02T09:24:43.726812
18,1.2532839833333416,0.6478652991862033,0.6324172934389491,1.2366553970306398,0.65177,0.6364093616126038,1.131771577318602e-05,0.0001886285962197,24602.8,1829.1,1.96,0.0,43.43,2026-04-02T16:14:51.385543
19,1.2488577302785149,0.6489409451604553,0.6336202124574546,1.2309347020233157,0.6533882,0.6367397034240223,9.740434972084452e-06,0.000162340582868,24478.1,1838.4,1.96,0.0,44.16,2026-04-02T23:02:54.313928
20,1.244221181820977,0.6501555024433813,0.6349780241936381,1.2255239239776612,0.6546946,0.6397264580942604,8.226998152895162e-06,0.0001371166358815,24310.0,1851.1,1.96,0.0,44.65,2026-04-03T05:48:09.138639
21,1.2398243614736866,0.6512215706262338,0.6361769786796908,1.2219324983840942,0.6553452,0.6402654095141811,6.795776384783914e-06,0.0001132629397463,24309.6,1851.1,1.96,0.0,44.97,2026-04-03T12:33:23.644873
22,1.2348691826008271,0.6524732390730511,0.6375707159036518,1.2169026479690552,0.6567954,0.6420378409190566,5.464142757766859e-06,9.106904596278098e-05,24298.1,1852.0,1.96,0.0,45.21,2026-04-03T19:18:26.699345
23,1.2302979502260385,0.6535923962202969,0.6388213494015836,1.2124206688674928,0.6579622,0.6426170771143839,4.248261496973985e-06,7.080435828289975e-05,25222.7,1784.1,1.96,0.0,42.83,2026-04-17T09:01:18.985066
