,precision,recall,f1-score,support
Achromobacter,0.4102462271644162,0.3171630334663801,0.35774891774891776,3257.0
Acidaminococcus,0.486529051127735,0.3793693259067585,0.4263183834401183,22801.0
Acinetobacter,0.34180211456525167,0.16624453142988718,0.22369100485386761,13029.0
Actinomyces,0.47511563367252546,0.3503888661481785,0.40332966860373803,58632.0
Adlercreutzia,0.3541666666666667,0.010439054344488793,0.020280345958842826,3257.0
Aeromonas,0.4298574643660915,0.17592876880564937,0.2496732026143791,3257.0
Akkermansia,0.42896704513985046,0.11888863304935145,0.18617788461538462,13029.0
Alistipes,0.51217274539404,0.496126097740291,0.5040217337776391,123777.0
Anaerococcus,0.45256931081177393,0.21660526674853323,0.29298452026668514,29316.0
Anaerofustis,0.3876582278481013,0.07522259748234572,0.1259964001028542,3257.0
Anaeromassilibacillus,0.3031423290203327,0.016782644289807615,0.031804518568796666,9772.0
Anaerosporobacter,0.34615384615384615,0.00276327909118821,0.005482790130977765,3257.0
Anaerostipes,0.0,0.0,0.0,3257.0
Anaerotignum,0.49643947100712105,0.14983113294442738,0.23018867924528302,3257.0
Anaerotruncus,0.5172049501961968,0.2630286284442398,0.3487153396082422,13029.0
Atopobium,0.562696795702908,0.3108882521489971,0.40050095577087863,9772.0
Azospirillum,0.3998225826891395,0.32286123618501844,0.35724395629281547,19544.0
Bacillus,0.24041616646658664,0.08384035724253419,0.1243248836006208,35830.0
Bacteroides,0.3743177239990066,0.5271463934993219,0.43777724348371916,257327.0
Barnesiella,0.49498117942283565,0.16148178469095376,0.24351851851851852,9772.0
Bifidobacterium,0.475076902722191,0.31465375599710826,0.37857142857142856,45647.0
Blastococcus,0.3562913907284768,0.3303653669020571,0.3428389357973554,3257.0
Blautia,0.3550847673677502,0.4647814944339144,0.4025945120981845,149836.0
Brachyspira,0.6234543278819306,0.4798894688363525,0.5423317140874393,3257.0
Brevibacterium,0.44475524475524475,0.19527172244396684,0.2713889481544698,3257.0
Butyricicoccus,0.39082985979537704,0.2261742906012894,0.28653183687076345,22801.0
Butyricimonas,0.4450083426028921,0.3275173966434711,0.3773284602688045,19544.0
Butyrivibrio,0.35810205908683973,0.04093327875562833,0.07346863807512168,9772.0
Campylobacter,0.6070055531824007,0.523484988027261,0.5621600237365246,16287.0
Catenibacterium,0.48159233762346604,0.3293082275890299,0.3911510878813662,9772.0
Cellulomonas,0.4400073273493314,0.73748848633712,0.5511702615878844,3257.0
Citrobacter,0.27618142958917125,0.11901350798198936,0.16634484731459628,9772.0
Cloacibacillus,0.5987546699875467,0.36899462778204145,0.45660018993352325,6515.0
Clostridium,0.488828972947776,0.7416498431231355,0.58926643249073,622144.0
Collinsella,0.7703590049748325,0.9239601054892778,0.8401970834244905,1136798.0
Coprobacillus,0.26666666666666666,0.002456248081056187,0.004867660480681472,3257.0
Coprococcus,0.4167526068522975,0.18609291854277527,0.25729546178062324,19544.0
Corynebacterium,0.4377036611079164,0.15578523673079547,0.2297861635220126,29316.0
Cryptobacterium,0.6,0.0004604758250191865,0.0009202453987730061,6515.0
Desulfovibrio,0.4690488350386559,0.4542570609905853,0.4615344625915176,58632.0
Dialister,0.41602669197802516,0.2612056199660491,0.32091944841969805,55374.0
Dorea,0.2747228381374723,0.05433972194202009,0.0907326718172165,22801.0
Dysgonomonas,0.29635036496350364,0.015580627830224883,0.029604783432988186,13029.0
Edwardsiella,0.42655548428479795,0.10207214121258634,0.16472628189249441,6515.0
Eggerthella,0.4318865909311584,0.27310963067571303,0.3346184950442911,65146.0
Enterobacter,0.3249785273678457,0.21295538272615636,0.2573027108899261,19544.0
Enterococcus,0.32797762927152946,0.23604857415745667,0.27452147178419123,29316.0
Eubacterium,0.35868453630442976,0.2116406597361902,0.26620683226918956,94462.0
Exiguobacterium,0.48729380294248775,0.3355333844973139,0.39741841650759024,6515.0
Faecalibacterium,0.4707044308028931,0.3657810839532412,0.4116623034909835,42345.0
Finegoldia,0.34704370179948585,0.01381498158002456,0.026572187776793623,9772.0
Flavobacterium,0.2558139534883721,0.01013202333435677,0.019492025989367986,3257.0
Franconibacter,0.389937106918239,0.0761436905127418,0.1274081685075777,3257.0
Fusobacterium,0.5273962314535107,0.37312551658991616,0.43704661600060857,84690.0
Garciella,0.4417808219178082,0.07921400061406202,0.13434001562093204,3257.0
Gemella,0.3125,0.0015351550506601166,0.0030553009471432934,3257.0
Gemmiger,0.40387275242047027,0.17930610991710164,0.2483521156708484,3257.0
Granulicatella,0.42694663167104113,0.2496930004093328,0.31510298960418415,9772.0
Halomonas,0.42534301856335754,0.1618053423395763,0.23443060498220641,3257.0
Helicobacter,0.5888065894212743,0.6534997953336062,0.6194687404006273,29316.0
Klebsiella,0.3324601916316261,0.24677650429799428,0.28328096091157384,19544.0
Lachnobacterium,0.33628403733282014,0.08253630889125044,0.13254200007584663,42345.0
Lachnoclostridium,0.0,0.0,0.0,3257.0
Lachnospira,0.4169993909453881,0.31528857961522716,0.35908044637394015,19544.0
Lactobacillus,0.392034999207887,0.39504869033438533,0.39353607515964084,81433.0
Leuconostoc,0.33534197047303405,0.11389684813753581,0.1700404858299595,9772.0
Listeria,0.30344827586206896,0.027018728891618052,0.049619396673245,3257.0
Marvinbryantia,0.3197278911564626,0.014430457476205097,0.027614571092831962,3257.0
Massiliomicrobiota,0.3949579831932773,0.05772182990482039,0.1007232788641843,3257.0
Megamonas,0.38648883734415773,0.1364101514531314,0.20164889191437865,9772.0
Megasphaera,0.49282378403007177,0.4086905183610816,0.44683130865855075,42345.0
Morganella,0.37572254335260113,0.2394841879029782,0.29251828239264954,3257.0
