epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,epoch_time_sec,throughput_reads_per_sec,gpu_allocated_gb,gpu_util_pct,ram_rss_gb,timestamp
1,2.291888856413096,0.4207201028985095,0.36065916476160587,2.051288933331299,0.462658,0.4133987067860968,0.0004996203621384589,0.0004996203621384589,1670.5,26938.5,0.07,0.0,41.57,2026-03-28T13:44:18.094659
2,1.9895968051761854,0.47654845545568325,0.43241338680284597,1.8510940951644896,0.505551,0.46824378955040163,0.0004905669222434073,0.0004905669222434073,2056.0,21887.0,0.07,0.0,41.59,2026-03-28T14:18:35.272064
3,1.896891689390056,0.4964712860180339,0.4566557452863866,1.8206079400161743,0.5132484,0.4782712462026006,0.0004698683121317594,0.0004698683121317594,2000.9,22489.7,0.07,0.0,41.72,2026-03-28T14:51:57.335450
4,1.879772096928618,0.5002943576487655,0.4614728786078443,1.806117242251587,0.5167598,0.47935743112148094,0.00043852649348531794,0.00043852649348531794,1987.2,22645.1,0.07,0.0,41.87,2026-03-28T15:25:05.646281
5,1.8690128574396838,0.5026865968824668,0.46445559842802664,1.795927524734497,0.51879,0.483531527797593,0.00039805863587017234,0.00039805863587017234,1986.5,22653.0,0.07,0.0,42.01,2026-03-28T15:58:13.291596
6,1.8601569527393722,0.5046427219038002,0.4668334929790628,1.786125803277588,0.5209594,0.4853045438172208,0.0003504236748117666,0.0003504236748117666,2013.6,22347.9,0.07,0.0,42.16,2026-03-28T16:31:48.049593
7,1.851503141800662,0.5065838690408465,0.4692121635301089,1.77382166121521,0.5236932,0.488984044699198,0.00029792748521847594,0.00029792748521847594,1979.7,22730.3,0.07,0.0,42.31,2026-03-28T17:04:48.888197
8,1.8427715057262803,0.5085443940934691,0.47161180604158864,1.7709308355758666,0.5245556,0.4932258122668242,0.00024311126044238547,0.00024311126044238547,1980.8,22718.6,0.07,0.0,42.46,2026-03-28T17:37:50.757188
9,1.833474388929856,0.5105785863366139,0.47410313015574124,1.7589463954055786,0.5271452,0.49575663186767327,0.00018862850023398418,0.00018862850023398418,1992.3,22586.6,0.07,0.0,42.61,2026-03-28T18:11:04.192699
10,1.823856440477776,0.5127324460973944,0.4766942191693882,1.7491978044372558,0.5295698,0.4974640817989707,0.00013711656225899008,0.00013711656225899008,1982.0,22704.9,0.07,0.0,42.76,2026-03-28T18:44:08.463410
11,1.8137284987669158,0.5149684175531914,0.47941488450065245,1.7375676488311766,0.5322536,0.49983782677645106,9.106899500824111e-05,9.106899500824111e-05,1981.5,22710.6,0.07,0.0,42.91,2026-03-28T19:17:11.025895
12,1.8039953794912316,0.5172201224542041,0.482095027641411,1.7281416704818726,0.5345042,0.5031226418413397,5.2714832106536795e-05,5.2714832106536795e-05,1994.6,22560.9,0.07,0.0,43.05,2026-03-28T19:50:26.746034
13,1.7950135539790335,0.5191936031545114,0.4844579954701959,1.7170222798049928,0.5367158,0.5041984988015048,2.391069104451249e-05,2.391069104451249e-05,1980.8,22717.7,0.07,0.0,43.17,2026-03-28T20:23:28.711838
14,1.7882092212298744,0.5207217917994084,0.4862912388330359,1.7132299517990113,0.5377152,0.5062080010002281,6.0508995314065005e-06,6.0508995314065005e-06,1979.6,22732.2,0.07,0.0,43.29,2026-03-28T20:56:29.402939
15,1.7843117248769207,0.521543953201445,0.4872630759989684,1.7120520956146241,0.5379626,0.5066535937087124,0.0,0.0,2005.1,22442.3,0.07,0.0,43.41,2026-03-28T21:29:55.689444
